description,category
PAYPAL *ARCTERYXEQU Shopping,Clothing & Personal Care
SP HATCH COLLECTION Merchandise,Clothing & Personal Care
SQ *VOYAGER-CUPERTINO Food & Drink,Groceries & Food
SP ALO-YOGA Merchandise,Clothing & Personal Care
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
PAYPAL *EVERLANE Shopping,Clothing & Personal Care
GAP ONLINE Merchandise,Clothing & Personal Care
Amazon.com*YV1YS1J93 Shopping,Amazon
AMZN Mktp US*8A6SL5EV3 Shopping,Amazon
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
PAYPAL *MARINELAYER Shopping,Clothing & Personal Care
AMZN Digital*FS89B8FE3 Shopping,Amazon
WALGREENS #7080 Health & Wellness,Healthcare
STAPLES       00114785 Shopping,Miscellaneous
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
SP HATCH COLLECTION Merchandise,Clothing & Personal Care
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
APPLE.COM/US Shopping,Miscellaneous
PAYPAL *HP.COMSTORE Shopping,Miscellaneous
APPLE.COM/US Shopping,Subscriptions & Memberships
COSTCO WHSE #0423 Shopping,Groceries & Food
PAYPAL *LULULEMONUS Shopping,Clothing & Personal Care
LEMONADE INSURANCE Bills & Utilities,Pet
ADIDAS US ONLINE STORE Merchandise,Clothing & Personal Care
PAYPAL *REI Shopping,Clothing & Personal Care
UA.COM*888-727-6687 MD Merchandise,Clothing & Personal Care
SP LAMBWOLF Merchandise,Pet
UA.COM*888-727-6687 MD Merchandise,Clothing & Personal Care
Tesla Automotive,Transportation
BLOOMINGDALES  .COM Shopping,Clothing & Personal Care
Tesla Automotive,Transportation
SNACK* CHICHA SAN CHEN Food & Drink,Groceries & Food
AMZN Mktp US*Q720A46W3 Shopping,Amazon
SP MUSTELA USA Merchandise,Clothing & Personal Care
SP HATCH COLLECTION Merchandise,Clothing & Personal Care
ATT*BILL PAYMENT Phone/Cable,Utilities
USPS PO 0576200270 Shopping,Miscellaneous
NIJIYA MARKET #61 Groceries,Groceries & Food
LOCALKITCHENS Food & Drink,Groceries & Food
Whole Foods SVL 10707 Groceries,Groceries & Food
AMZN Mktp US*444WU9ZP3 Shopping,Amazon
Whole Foods SVL 10707 Groceries,Groceries & Food
Mortgage Housing,Housing
529 plan Education,Education
328 HOA Utilities,Utilities
Woodsborough HOA Utilities,Utilities
Rental income Housing,Housing
Tesla auto loan Transportation,Transportation
T mobile Utilities,Utilities
PGE Utilities,Utilities
Tesla registration Transportation,Transportation
Target Target,Target
Target Target,Target
Target Target,Target
Target Target,Target
Lovevery Education,Education
Target Target,Target
Target Target,Target
Target Target,Target
Target Target,Target
Target Target,Target
Grooming Pet,Pet
Target Target,Target
Target Target,Target
Target Target,Target
ADIDAS US ONLINE STORE Merchandise,Clothing & Personal Care
BODEGA BAY LODGE Travel,Travel
WALGREENS #7080 Health & Wellness,Healthcare
PAYPAL *ARCTERYXEQU Shopping,Clothing & Personal Care
PAYPAL *PETSMART Shopping,Pet
PAYPAL *LLBEANINC Shopping,Clothing & Personal Care
SQ *SHAKE SHACK Food & Drink,Groceries & Food
EVERLANE* R770374666 Merchandise,Clothing & Personal Care
BODEGA BAY LODGE Travel,Travel
EVERLANE* R444572477 Merchandise,Clothing & Personal Care
EVERLANE* R232041374 Merchandise,Clothing & Personal Care
EVERLANE* R444572477 Merchandise,Clothing & Personal Care
EVERLANE* R444572477 Merchandise,Clothing & Personal Care
EVERLANE* R567123385 Shopping,Clothing & Personal Care
PAYPAL *EVERLANE Shopping,Clothing & Personal Care
CAFE MEI Food & Drink,Groceries & Food
SQ *LADY M - VALLEY FAIR Food & Drink,Groceries & Food
NORDSTROM #0425 Shopping,Clothing & Personal Care
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
10BUTCHERS KOREAN BBQ Food & Drink,Groceries & Food
SENANGPAY*CH FOOD Groceries,Groceries & Food
GAP ONLINE Merchandise,Clothing & Personal Care
BODEGA BAY LODGE Travel,Travel
PAYPAL *ALO YOGA Shopping,Clothing & Personal Care
AMZN Mktp US Shopping,Amazon
PAYPAL *PETSMART Shopping,Pet
PAYPAL *TARGETCORPO Shopping,Target
TRADER JOE S #068 Groceries,Groceries & Food
REI #104 MOUNTAIN VIEW Merchandise,Clothing & Personal Care
PAYPAL *REI Shopping,Clothing & Personal Care
SP LAMBWOLF Merchandise,Pet
LULULEMONCOM* Merchandise,Clothing & Personal Care
PAYPAL *PYPLGIFTSUS Shopping,Groceries & Food
PAYPAL *MARINELAYER Shopping,Clothing & Personal Care
PAYPAL *EGIFTER EGIFTERCO Shopping,Groceries & Food
PAYPAL *ELLA MILA Shopping,Miscellaneous
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
PAYPAL *BLOOMINGDAL Shopping,Clothing & Personal Care
TENAYA LODGING Travel,Travel
SPECIAL NOODLE Food & Drink,Groceries & Food
UTC  #31005 Food & Drink,Groceries & Food
TRAVEL CREDIT $300/YEAR Fees & Adjustments,Travel
BIG SUR LODGE Travel,Travel
99 RANCH #1768 Groceries,Groceries & Food
99 RANCH #1768 Groceries,Groceries & Food
SP HATCH COLLECTION Merchandise,Clothing & Personal Care
99 RANCH #1768 Groceries,Groceries & Food
WHOLEFDS SVL#10707 Groceries,Groceries & Food
SUNNY TOWN CLEANERS AND Personal,Miscellaneous
SQ *FUGETSU SAN JOSE Food & Drink,Groceries & Food
MITSUWA J SWEETS SJ Food & Drink,Groceries & Food
MITSUWA MRKTPLACE SJ Groceries,Groceries & Food
DAISO BA12 SARATOGA Shopping,Miscellaneous
NIKE INC Merchandise,Clothing & Personal Care
PAYPAL *GIFTCARDS BHN*GIF Shopping,Groceries & Food
LOWES #02211* Home,Miscellaneous
TJMAXX #0628 Shopping,Miscellaneous
SP HATCH COLLECTION Merchandise,Clothing & Personal Care
TST* PARIS BAGUETTE - CUP Food & Drink,Groceries & Food
BATTERIES N BULBS Automotive,Miscellaneous
PAYPAL *PEEKABOOPIL Home,Clothing & Personal Care
SMART AND FINAL 432 Groceries,Groceries & Food
TOCK ATLA CASA MIA Food & Drink,Groceries & Food
NIJIYA MARKET #61 Groceries,Groceries & Food
BAKERS VILLAGE Food & Drink,Groceries & Food
HANKOOK SUPERMARKET Groceries,Groceries & Food
HAN KOOK SUPER DELI Food & Drink,Groceries & Food
WHOLEFDS SVL#10707 Groceries,Groceries & Food
UT ADMISSION GRAD INTL Education,Miscellaneous
PET FOOD EXPRESS 3065 Shopping,Pet
SP COLORED ORGANICS Merchandise,Clothing & Personal Care
SNACK* TEAZZI TEA SHOP Food & Drink,Groceries & Food
SQ *THAI SPOONS RESTAURAN Food & Drink,Groceries & Food
PAYPAL *HOME DEPOT Home,Miscellaneous
CHATGPT SUBSCRIPTION Shopping,Subscriptions & Memberships
ADOBE  *PRODUCTS Shopping,Subscriptions & Memberships
Amazon.com*V35D01R83 Shopping,Amazon
AMZN Mktp US*UK9N95R63 Shopping,Amazon
AMZN Mktp US*S53B143Q3 Shopping,Amazon
PAYPAL *ON INC Shopping,Clothing & Personal Care
PP*INSTACART COSTCO Groceries,Groceries & Food
AMZN Mktp US*7Z40Q66M3 Shopping,Amazon
Amazon.com*AT84O9433 Shopping,Amazon
AMZN Mktp US*JW6MR4AD3 Shopping,Amazon
HANKOOK SUPERMARKET Groceries,Groceries & Food
PAYPAL *PYPLGIFTSUS Shopping,Groceries & Food
SHENG KEE BAKERY (N WOLFE Food & Drink,Groceries & Food
SOUTHLANDFLAVORCAFE Food & Drink,Groceries & Food
PAYPAL *CVS PHR INC Health & Wellness,Healthcare
Amazon.com Shopping,Amazon
Whole Foods SVL 10707 Groceries,Groceries & Food
AMZN Mktp US Shopping,Amazon
BLINK CHARGING CO Automotive,Transportation
AMZN Mktp US*JZ4B01883 Shopping,Amazon
SANTA CLARA UTILITIES Bills & Utilities,Utilities
PAYPAL *ADIDASAMERI ADIDA Shopping,Clothing & Personal Care
#2400-28A0  SOUL RICE Food & Drink,Groceries & Food
EGTB-PA MISITE-ETB-EC Bills & Utilities,Insurance
SHELL OIL 57444218606 Gas,Transportation
PAYPAL *BESTBUY COM Shopping,Groceries & Food
SPUD POINT CRAB COMPANY Food & Drink,Groceries & Food
FISHETARIAN FISH MARKET* Food & Drink,Groceries & Food
FISHETARIAN FISH MARKET* Food & Drink,Groceries & Food
BODEGA BAY LODGE Travel,Travel
LEMONADE INSURANCE Bills & Utilities,Pet
TST* PARIS BAGUETTE - SUN Food & Drink,Groceries & Food
CAFE AT MOUNTAIN VIEW: G Food & Drink,Groceries & Food
SNACK* TEAZZI TEA SHOP Food & Drink,Groceries & Food
HANKOOK SUPERMARKET Groceries,Groceries & Food
AMZN Mktp US*504YZ4EB3 Shopping,Amazon
AMZN Mktp US*P46MS91R3 Shopping,Amazon
CAFE AT MOUNTAIN VIEW: G Food & Drink,Groceries & Food
TEA COUNTRY INC Food & Drink,Groceries & Food
AMZN Mktp US*WJ73X35T3 Shopping,Amazon
AMZN Mktp US*1Y3GT0VA3 Shopping,Amazon
SHENG KEE BAKERY (N WOLFE Food & Drink,Groceries & Food
ATT*BILL PAYMENT Phone/Cable,Utilities
SQ *EUROPA CREPES/TONY'S Food & Drink,Groceries & Food
ANA`S CORN Food & Drink,Groceries & Food
PAYPAL *EVERLANE Shopping,Clothing & Personal Care
WHOLEFDS SVL#10707 Groceries,Groceries & Food
AMZN Mktp US Shopping,Amazon
TARGET        00025841 Shopping,Target
PAYPAL *ON INC Shopping,Clothing & Personal Care
Mortgage Housing,Housing
529 plan Education,Education
328 HOA Housing,Housing
Woodsborough HOA Housing,Housing
Rental income Housing,Housing
Insurance reimbursement Insurance,Insurance
Tesla auto loan Transportation,Transportation
T mobile Utilities,Utilities
Target Target,Target
Passport Miscellaneous,Miscellaneous
Target Target,Target
Target Target,Target
Target Target,Target
Zelle Miscellaneous,Miscellaneous
Target Target,Target
Target Target,Target
Grooming Pet,Pet
Target Target,Target
Target Target,Target
Target Target,Target
Target Target,Target
Target Target,Target
PGE Utilities,Utilities
Parents Miscellaneous,Miscellaneous
